,Unnamed: 0,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path,jpeg_path
41,41,fbs0015,DFBSJ162123.82+425955.8,16:21:23.829,+42:59:55.82,17.06,15.26,U,56,15,6.971783039288215e-13,-1.950687519299876e-14,-5.1848213805320835e-12,-8.308770188198468e-10,4.296907830581943e-12,-8.244675645716e-15,6.938810858539609e-18,-2.1617599445418104e-21,specimages/fbs0015-DFBSJ162123.82+425955.8.fits,specimagesjpeg/fbs0015-DFBSJ162123.82+425955.8.jpg
42,42,fbs0015,DFBSJ162124.03+425536.3,16:21:24.036,+42:55:36.39,16.04,16.05,U,98,17,8.697767192059831e-14,6.276191842605715e-17,1.8859882892770282e-14,3.1486513279216147e-12,7.560696976680322e-14,-2.654176414495045e-16,2.922689172471285e-19,-1.0560829267243694e-22,specimages/fbs0015-DFBSJ162124.03+425536.3.fits,specimagesjpeg/fbs0015-DFBSJ162124.03+425536.3.jpg
43,43,fbs0015,DFBSJ162125.69+425724.1,16:21:25.691,+42:57:24.16,14.57,13.72,OK,99,15,1.9982260262893195e-12,-5.59099433439221e-14,-1.4860552407079842e-11,-2.381427960928252e-09,1.3275576156603671e-11,-2.6932322594471663e-14,2.3677738272145427e-17,-7.644618087209936e-21,specimages/fbs0015-DFBSJ162125.69+425724.1.fits,specimagesjpeg/fbs0015-DFBSJ162125.69+425724.1.jpg
44,44,fbs0015,DFBSJ162126.40+425747.2,16:21:26.408,+42:57:47.24,15.18,14.85,OK,98,17,6.101958708937009e-12,4.402853855339041e-15,1.3230247709963003e-12,2.20864309197283e-10,-4.501613885212346e-13,-8.229349888751944e-17,6.469519671332702e-19,-3.3409156001853023e-22,specimages/fbs0015-DFBSJ162126.40+425747.2.fits,specimagesjpeg/fbs0015-DFBSJ162126.40+425747.2.jpg
45,45,fbs0015,DFBSJ162129.58+425455.9,16:21:29.583,+42:54:55.96,15.44,14.69,OK,91,17,-1.240278113260642e-11,-8.949127291195187e-15,-2.6891378998025357e-12,-4.4891753850556566e-10,2.612577759945696e-12,-5.3534186505807834e-15,4.6676716546136485e-18,-1.4778344815417409e-21,specimages/fbs0015-DFBSJ162129.58+425455.9.fits,specimagesjpeg/fbs0015-DFBSJ162129.58+425455.9.jpg
46,46,fbs0015,DFBSJ162129.72+430038.0,16:21:29.725,+43:00:38.03,15.31,14.89,OK,98,17,-4.317111605230706e-12,-3.1149673077681736e-15,-9.360204625005765e-13,-1.5625617235001362e-10,1.150705153525035e-12,-2.6416019637474997e-15,2.4617776400717494e-18,-8.142295278457716e-22,specimages/fbs0015-DFBSJ162129.72+430038.0.fits,specimagesjpeg/fbs0015-DFBSJ162129.72+430038.0.jpg
47,47,fbs0015,DFBSJ162132.39+430003.1,16:21:32.395,+43:00:03.13,14.79,13.65,OK,120,16,-4.1202441469975646e-11,-6.897133709841945e-14,-1.7634568969607105e-11,-2.882887064853308e-09,1.5498526928434638e-11,-3.052025828275603e-14,2.6134433961620102e-17,-8.232999279811723e-21,specimages/fbs0015-DFBSJ162132.39+430003.1.fits,specimagesjpeg/fbs0015-DFBSJ162132.39+430003.1.jpg
48,48,fbs0015,DFBSJ162139.51+425605.9,16:21:39.511,+42:56:05.91,15.02,14.02,OK,88,18,-4.518677843605265e-11,-1.2022841844518207e-14,-4.666394781249524e-12,-7.964304694822479e-10,4.570077869110223e-12,-9.198786840298e-15,7.860416196202172e-18,-2.435100442924478e-21,specimages/fbs0015-DFBSJ162139.51+425605.9.fits,specimagesjpeg/fbs0015-DFBSJ162139.51+425605.9.jpg
49,49,fbs0018,DFBSJ143747.57+470029.8,14:37:47.571,+47:00:29.88,15.36,15.05,NL,94,18,5.308800404782801e-13,1.4126497824626517e-16,5.48297592885262e-14,9.358948627449954e-12,3.4140816953207444e-13,-1.1374003576174165e-15,1.2152010366482815e-18,-4.278877924262101e-22,specimages/fbs0018-DFBSJ143747.57+470029.8.fits,specimagesjpeg/fbs0018-DFBSJ143747.57+470029.8.jpg
50,50,fbs0018,DFBSJ143748.75+470204.1,14:37:48.751,+47:02:04.18,15.89,15.1,NL,120,17,-2.223574293569639e-11,-1.6044045605154894e-14,-4.8211042534926e-12,-8.048237522776134e-10,4.113048049243437e-12,-7.772698992814534e-15,6.421059398631477e-18,-1.9574807913104213e-21,specimages/fbs0018-DFBSJ143748.75+470204.1.fits,specimagesjpeg/fbs0018-DFBSJ143748.75+470204.1.jpg
51,51,fbs0018,DFBSJ143750.43+465246.4,14:37:50.437,+46:52:46.42,13.65,12.88,OK,102,17,-7.938834463115646e-11,-5.728201414791093e-14,-1.721276503970051e-11,-2.8734527106872292e-09,1.695173684586998e-11,-3.50392529918607e-14,3.073934299601138e-17,-9.7775932230339e-21,specimages/fbs0018-DFBSJ143750.43+465246.4.fits,specimagesjpeg/fbs0018-DFBSJ143750.43+465246.4.jpg
52,52,fbs0018,DFBSJ143752.26+465729.4,14:37:52.267,+46:57:29.40,16.58,16.2,U,79,18,-6.5429429189833104e-12,-1.7408804319323445e-15,-6.756834746892354e-13,-1.1532135771266206e-10,6.551051818332019e-13,-1.309560211603016e-15,1.1127185868976976e-18,-3.4292681337714522e-22,specimages/fbs0018-DFBSJ143752.26+465729.4.fits,specimagesjpeg/fbs0018-DFBSJ143752.26+465729.4.jpg
53,53,fbs0018,DFBSJ143807.83+465237.5,14:38:07.837,+46:52:37.54,15.91,15.27,OK,85,17,-1.1904763113177194e-11,-8.58979173250727e-15,-2.581161192895235e-12,-4.308925148465341e-10,2.3780304842381364e-12,-4.726595857450302e-15,4.0438904821317694e-18,-1.264563702379349e-21,specimages/fbs0018-DFBSJ143807.83+465237.5.fits,specimagesjpeg/fbs0018-DFBSJ143807.83+465237.5.jpg
54,54,fbs0018,DFBSJ143813.64+470217.5,14:38:13.644,+47:02:17.59,16.37,15.78,U,93,19,1.85979461603959e-12,-1.6931625167540464e-15,-5.114522122336786e-13,-8.932759807525312e-11,5.790941261336921e-13,-1.2316842762390738e-15,1.079723766436497e-18,-3.376870681675699e-22,specimages/fbs0018-DFBSJ143813.64+470217.5.fits,specimagesjpeg/fbs0018-DFBSJ143813.64+470217.5.jpg
55,55,fbs0018,DFBSJ143814.98+470157.8,14:38:14.989,+47:01:57.87,16.74,15.77,U,86,17,-9.488672247806595e-12,-6.846483585367721e-15,-2.0573120072761983e-12,-3.4344269394770256e-10,1.8001219764271597e-12,-3.4509657240853707e-15,2.873626875768136e-18,-8.796260589184958e-22,specimages/fbs0018-DFBSJ143814.98+470157.8.fits,specimagesjpeg/fbs0018-DFBSJ143814.98+470157.8.jpg
56,56,fbs0020,DFBSJ070201.94+670517.0,07:02:01.942,+67:05:17.05,16.0,15.18,U,65,18,-8.185680839851333e-12,-2.177963079958744e-15,-8.453272097234231e-13,-1.4427503444357703e-10,8.348553591656335e-13,-1.6841473202483617e-15,1.4385705205242798e-18,-4.4498663900884075e-22,specimages/fbs0020-DFBSJ070201.94+670517.0.fits,specimagesjpeg/fbs0020-DFBSJ070201.94+670517.0.jpg
57,57,fbs0020,DFBSJ070207.15+670056.8,07:02:07.153,+67:00:56.84,16.07,15.22,OK,89,28,5.607811189936617e-12,8.461573530536102e-16,2.541576834589065e-13,5.928340461321493e-11,-1.679945335303847e-13,1.779019468634995e-16,-8.3218481321754e-20,1.4493770365628754e-23,specimages/fbs0020-DFBSJ070207.15+670056.8.fits,specimagesjpeg/fbs0020-DFBSJ070207.15+670056.8.jpg
58,58,fbs0020,DFBSJ070216.01+665928.6,07:02:16.017,+66:59:28.65,16.2,15.46,NL,63,16,-3.145184355282715e-12,-5.264917645348281e-15,-1.3461320773116861e-12,-2.2006459120312786e-10,1.2400045329073226e-12,-2.5203655603993395e-15,2.210966430129304e-18,-7.106020184459404e-22,specimages/fbs0020-DFBSJ070216.01+665928.6.fits,specimagesjpeg/fbs0020-DFBSJ070216.01+665928.6.jpg
59,59,fbs0020,DFBSJ070216.09+670012.1,07:02:16.090,+67:00:12.13,15.81,16.19,NL,90,28,3.200034925068742e-12,4.828501354717729e-16,1.4503218524480976e-13,3.382938551164322e-11,-1.037590903169715e-13,1.1790826505531978e-16,-5.87904725349438e-20,1.0855576720133467e-23,specimages/fbs0020-DFBSJ070216.09+670012.1.fits,specimagesjpeg/fbs0020-DFBSJ070216.09+670012.1.jpg
60,60,fbs0020,DFBSJ070219.09+670644.6,07:02:19.099,+67:06:44.65,16.02,15.38,U,86,18,-2.440419533397714e-12,-6.493172637012602e-16,-2.5201750654104807e-13,-4.301239719286285e-11,3.881983528432685e-13,-9.476279910331778e-16,9.03335267478667e-19,-3.005477867554368e-22,specimages/fbs0020-DFBSJ070219.09+670644.6.fits,specimagesjpeg/fbs0020-DFBSJ070219.09+670644.6.jpg
61,61,fbs0020,DFBSJ070220.36+670301.2,07:02:20.365,+67:03:01.27,14.78,13.85,NL,93,16,-2.1695099417055635e-11,-3.631677339000759e-14,-9.285459862693796e-12,-1.517980141119707e-09,8.309350691814576e-12,-1.672567268805714e-14,1.4690673252423886e-17,-4.757134841343746e-21,specimages/fbs0020-DFBSJ070220.36+670301.2.fits,specimagesjpeg/fbs0020-DFBSJ070220.36+670301.2.jpg
